user ID,user__created_date,country,age,num_messages,num_active_days
499,2/28/2024,South Africa,15,283,4
500,1/8/2024,South Africa,12,460,4
501,1/6/2024,Nigeria,17,350,4
502,6/29/2023,Nigeria,15,67,2
503,2/22/2024,Nigeria,17,168,4
504,3/28/2024,Nigeria,17,172,1
505,4/6/2024,Ghana,18,1990,18
506,12/15/2023,Nigeria,21,159,2
507,2/28/2024,Nigeria,21,647,3
508,2/6/2024,Nigeria,0,621,5
509,3/27/2023,Nigeria,0,155,2
510,2/26/2024,Nigeria,17,372,2
511,4/27/2024,Nigeria,11,331,2
512,12/18/2023,Nigeria,17,338,2
513,3/5/2024,Nigeria,16,160,3
514,3/14/2024,Nigeria,19,605,9
515,2/14/2024,Nigeria,30,207,2
516,1/1/2024,Nigeria,0,939,12
517,12/23/2023,Ghana,18,461,2
518,2/18/2024,Ghana,18,202,3
519,4/30/2024,Ghana,0,96,1
520,2/24/2024,Nigeria,17,155,1
521,2/7/2024,South Africa,18,755,4
522,2/13/2024,Nigeria,17,736,3
523,6/15/2023,Nigeria,14,148,1
524,2/7/2023,Nigeria,0,82,3
525,4/11/2023,Nigeria,0,231,3
526,5/5/2023,Nigeria,0,253,4
527,6/24/2023,Ghana,18,64,1
528,4/12/2024,Nigeria,14,281,4
529,3/15/2024,Nigeria,27,356,6
530,6/16/2023,Nigeria,17,182,2
531,2/21/2024,Ghana,19,162,1
532,4/18/2023,Ghana,0,95,2
533,#N/A,#N/A,#N/A,#N/A,#N/A
534,2/8/2024,South Africa,17,191,1
535,3/23/2024,Ghana,19,70,2
536,4/16/2024,Ghana,15,575,8
537,2/28/2024,Ghana,15,299,3
538,1/3/2024,Ghana,15,561,7
539,5/10/2023,Sierra Leone,0,179,3
540,3/1/2024,Nigeria,16,427,5
541,3/5/2024,Nigeria,13,241,4
542,1/7/2024,Nigeria,19,97,1
543,4/29/2024,Ghana,20,344,1
544,2/28/2024,Ghana,0,164,1
545,3/20/2024,South Africa,10,460,6
546,2/5/2024,Nigeria,14,562,5
547,2/13/2024,Nigeria,15,772,6
548,4/9/2024,Nigeria,18,310,2
549,3/2/2024,South Africa,13,244,1
550,2/1/2024,Nigeria,0,360,3
551,2/18/2024,Ghana,9,500,2
552,2/25/2024,Nigeria,15,108,1
553,4/5/2024,Ghana,18,195,3
554,4/5/2024,Ghana,18,254,3
555,1/4/2024,Nigeria,19,124,5
556,1/6/2024,Ghana,15,674,3
557,2/26/2024,Nigeria,15,451,3
558,3/5/2024,Nigeria,18,318,8
559,2/1/2024,Ghana,17,797,4
560,4/6/2024,Ghana,18,265,7
561,3/13/2024,Ghana,15,361,5
562,2/17/2024,Nigeria,19,829,3
563,12/10/2023,Ghana,12,295,5
564,12/24/2023,Ghana,19,47,3
565,4/8/2024,Nigeria,16,419,4
566,2/6/2024,Ghana,23,147,2
567,1/26/2023,Nigeria,0,210,3
568,2/20/2024,Nigeria,17,1028,3
569,2/23/2024,Nigeria,1,487,3
570,12/21/2023,Ghana,0,222,5
571,2/24/2024,Nigeria,16,372,3
572,2/23/2024,South Africa,20,349,6
573,4/20/2024,Ghana,14,131,2
574,3/23/2023,Nigeria,0,231,2
575,2/24/2024,Ghana,15,136,1
576,2/15/2024,Nigeria,28,189,3
577,5/27/2023,Ghana,19,142,1
578,2/6/2024,South Africa,15,486,3
579,2/24/2023,South Africa,47,2512,30
580,2/22/2024,South Africa,16,212,1
581,1/3/2024,Nigeria,14,169,1
582,3/23/2024,Mozambique,13,176,3
583,4/6/2024,Ghana,19,684,2
584,1/7/2024,United Kingdom,17,565,2
585,12/19/2023,Nigeria,0,263,3
586,12/26/2023,Ghana,20,49,1
587,1/4/2024,Nigeria,13,220,7
588,2/17/2024,South Africa,16,182,1
589,4/9/2024,Ghana,18,234,2
590,2/15/2024,Nigeria,18,315,4
591,#N/A,#N/A,#N/A,#N/A,#N/A
592,2/12/2024,Nigeria,16,335,2
